# Цветовые сигнатуры вещей группы, пик Курумды, замер 2026-08-14.
#
# Порождается `analysis/measure_signatures.py` по кадрам, которые лежат в этом
# репозитории (`analysis/pilot/gt/`, `docs/nakhodki/frames/`). Перезамерить:
#   .venv/bin/python analysis/measure_signatures.py --out analysis/signatures.tsv
#
# Что в строке: метка, класс, медианные L, a, b в CIELAB (L 0..100), радиус C в
# плоскости a-b, тон в градусах (0 = +a, 90 = +b), разбросы (медианное отклонение
# от медианы), число отобранных пикселей и их доля в ROI, кадр, ROI (x,y,w,h) в
# пикселях этого кадра, правило отбора пикселей внутри ROI, примечание.
#
# Класс «предмет» - вещь группы. Класс «контроль» - та же вещь на другом кадре,
# снятая в другом освещении; пара предмет/контроль и есть замер того, насколько
# цвет уезжает от тени и экспозиции. Класс «ловушка» - гарантированное ложное
# срабатывание из инструкции штаба (`docs/viewing-instructions.md`, п.5).
#
# ЛОВУШКИ НИЧЕГО НЕ ОТСЕИВАЮТ. Ранжирование по этим сигнатурам только меняет
# порядок кандидатов и никогда не выбрасывает их: настоящие цвета курток группы
# достоверно неизвестны (там же, п.5), и фильтр по цвету выкинул бы ровно то,
# чей цвет мы не знаем.
#
# Замер сделан по 5 предметам с одной съёмки 13.08 после полудня. Это калибровка
# на горстке вещей за один день, а не универсальные цвета снаряжения.
метка	класс	L	a	b	C	тон	разброс_L	разброс_ab	n_пикс	доля_roi	кадр	roi	правило	примечание
рюкзак-синий	предмет	38.8	1.0	-14.0	14.0	274	9.4	3.6	11065	0.71	analysis/pilot/gt/C0049_00m18s.png	1445,410,125,125	C>=8&b<0	рюкзак Николая, вертолёт C0049 0:18; ROI по телу рюкзака без зелёной нашивки и красного под ним
палка-древко-бирюзовое	предмет	52.5	-15.0	-16.0	21.9	227	3.5	2.2	22750	0.55	analysis/pilot/gt/DJI_20260813183140_0012_Z.JPG	2300,980,260,160	C>=15	Komperdell №1, чистый участок древка выше надписи KOMPERDELL
палка-ручка-пробка	предмет	75.7	5.0	23.0	23.5	78	2.7	1.4	80706	0.70	analysis/pilot/gt/DJI_20260813183140_0012_Z.JPG	600,1620,500,230	C>=10&b>0	пробковая ручка той же палки
крышка-бирюзовая	предмет	54.1	-25.0	-7.0	26.0	196	5.5	6.7	1004	0.44	docs/nakhodki/frames/DJI_20260813183727_0015_Z_03m32s.jpg	17,263,52,44	C>=15	бирюзовое кольцо крышки/миски; ROI совпадает с блобом 0 детектора, правило отсекает тёмную середину кольца
стакан-белый	предмет	85.9	-3.0	2.0	3.6	146	5.5	2.2	961	0.25	docs/nakhodki/frames/DJI_20260813183004_0001_Z_03m40s.jpg	965,468,58,66	L>=78	белое тело одноразового стакана; отбор по светлоте, цвета у него нет
стакан-марка-красная	предмет	49.8	11.0	1.0	11.0	5	7.8	3.0	188	0.49	docs/nakhodki/frames/DJI_20260813183004_0001_Z_03m40s.jpg	954,476,16,24	C>=8&a>0	красная маркировка на боку того же стакана, 188 пикселей на весь предмет
предмет-оранжевый	предмет	64.3	20.0	34.0	39.4	60	6.7	12.3	650	0.45	docs/nakhodki/frames/DJI_20260813183727_0015_Z_03m20s.jpg	866,895,48,30	C>=20	оранжевый предмет (ткань?), реестр находок, раздел «требуют атрибуции»
палка-древко-контроль	контроль	41.6	-8.0	-15.0	17.0	242	2.0	1.4	1175	0.24	analysis/pilot/gt/DJI_20260813183028_0002_Z.JPG	1546,1004,58,84	C>=15	то же древко, кадр 18:30:28, другой ракурс и экспозиция
палка-ручка-контроль	контроль	57.6	6.0	26.0	26.7	77	6.3	5.0	9046	0.29	analysis/pilot/gt/DJI_20260813183028_0002_Z.JPG	1733,575,157,199	C>=10&b>0	та же пробковая ручка, кадр 18:30:28
крышка-контроль	контроль	42.4	-22.0	-9.0	23.8	202	4.7	3.2	9085	0.32	analysis/pilot/gt/DJI_20260813183028_0002_Z.JPG	1717,2028,212,132	C>=15	та же крышка у нижнего края кадра 18:30:28
порода-охристая	ловушка	38.4	11.0	11.0	15.6	45	6.7	2.2	102400	1.00	docs/nakhodki/frames/DJI_20260813183727_0015_Z_02m42s.jpg	120,300,320,320	C>=0	сплошное поле красно-бурой железистой породы, весь ROI без отбора
лишайник-жёлтый-на-камне	ловушка	65.5	2.0	17.0	17.1	83	9.8	5.7	1688	0.42	docs/nakhodki/frames/DJI_20260813183004_0001_Z_01m56s.jpg	606,809,64,63	C>=10	жёлто-охристая корка на камне; это блоб 0 (высший score) этого кадра у существующего детектора
корка-жёлтая-на-скале	ловушка	47.8	0.0	15.0	15.0	90	13.7	4.5	743	0.07	docs/nakhodki/frames/DJI_20260813184253_0016_Z_00m20s.jpg	1540,875,250,45	C>=10	жёлтая полоса корки/налёта на тёмной скале
